game_title,steam_appid,case_group,category,platform_notes,include_flag,exclusion_reason,primary_platform,available_platforms,steam_observable_flag,mobile_observable_flag,console_observable_flag,sales_data_type,search_keywords,indie_flag,pvp_flag,publisher_type,release_date,note
Suika Game,,suika_multiplatform,puzzle,"Nintendo Switch/iOS/Android/Apple Arcade; not Steam-centered",true,not_steam_observable,Nintendo Switch,"Nintendo Switch|iOS|Android|Apple Arcade",false,true,true,public_download_report,"suika game|watermelon game|スイカゲーム",true,false,indie,2021-12-09,Multi-platform case; use manual public/download/mobile indicators
The Exit 8,2653790,exit8_steam,anomaly_walk,Steam observable PC release,true,,Steam,"Steam|Nintendo Switch|PlayStation|Xbox",true,false,true,steam_review_proxy,"the exit 8|exit 8|８番出口",true,false,indie,2023-11-29,Steam-centered anomaly walking case
The Closing Shift,1843090,chillas_art,story_short,Steam observable Chilla's Art title,true,,Steam,Steam,true,false,false,steam_review_proxy,"the closing shift|closing shift|閉店事件",true,false,indie,2022-03-19,Chilla's Art narrative horror case
Big Arena 2099,120007,excluded_major_pvp,other,Excluded AAA PvP sample,false,major_publisher_or_pvp,Steam,Steam,true,false,false,unknown,big arena 2099,false,true,major,2024-02-02,Excluded quality-control sample
